Gene stable ID	UniProtKB Gene Name ID	Gene name
ENSMUSG00000000958	A0A2I3BQX2	Slc7a7
ENSMUSG00000000958	A0A0G2JE10	Slc7a7
ENSMUSG00000000958	A0A0G2JEB8	Slc7a7
ENSMUSG00000000958	A0A2I3BQK2	Slc7a7
ENSMUSG00000000958	Q9Z1K8	Slc7a7
ENSMUSG00002075080		Gm55745
ENSMUSG00000113373	A0A1D5RM44	Gm55746
ENSMUSG00000117040		Gm49805
ENSMUSG00000097254		C430042M11Rik
ENSMUSG00000117442		1810073O08Rik
ENSMUSG00000002944	Q3UAI3	Cd36
ENSMUSG00000002944	A0A0G2JFB7	Cd36
ENSMUSG00000002944	Q08857	Cd36
ENSMUSG00002076076		Gm55753
ENSMUSG00000117421		Gm41639
ENSMUSG00000098380		Mir6939
ENSMUSG00000037638	G3UY89	Zbtb42
ENSMUSG00000037638	G3UYC4	Zbtb42
ENSMUSG00000037638	Q811H0	Zbtb42
ENSMUSG00000117611		Gm35229
ENSMUSG00000117564		Gm41638
ENSMUSG00000117431		8430430B14Rik
ENSMUSG00000103015		Gm37549
ENSMUSG00000117446		Gm35551
ENSMUSG00000103898		Gm30238
ENSMUSG00000117432		Gm49967
ENSMUSG00000099165		Mir6940
ENSMUSG00000117571		4933433H22Rik
ENSMUSG00000113231		Gm5189
ENSMUSG00000052160	Q8BG07	Pld4
ENSMUSG00000045817	P23949	Zfp36l2
ENSMUSG00000024251	A8C756	Thada
ENSMUSG00000044952	B2RTJ2	Kctd21
ENSMUSG00002076492		Gm55386
ENSMUSG00000084739		Gm22067
ENSMUSG00000116516		Gm49444
ENSMUSG00000022394	Q80XB1	L3mbtl2
ENSMUSG00000022394	Q80XB0	L3mbtl2
ENSMUSG00000022394	G3UY70	L3mbtl2
ENSMUSG00000022394	P59178	L3mbtl2
ENSMUSG00000109272		Gm4528
ENSMUSG00000094010	E9Q4H3	Vmn1r119
ENSMUSG00000094501		Vmn1r-ps73
ENSMUSG00000093986	K7N6J6	Vmn1r120
ENSMUSG00000092616		Vmn1r-ps74
ENSMUSG00000094680	K7N6J4	Vmn1r121
ENSMUSG00000047084	Q99KS2	Ngrn
ENSMUSG00000094001	K7N726	Vmn1r122
ENSMUSG00000035704	Q6P8H8	Alg8
ENSMUSG00000103080		Gm38123
ENSMUSG00000113120		E330035G20Rik
ENSMUSG00000047828		A730018C14Rik
ENSMUSG00000000631	E9Q405	Myo18a
ENSMUSG00000000631	B2RRE2	Myo18a
ENSMUSG00000000631	K3W4L0	Myo18a
ENSMUSG00000000631	E9QAX2	Myo18a
ENSMUSG00000000631	E9PUR2	Myo18a
ENSMUSG00000000631	A0A1C7ZN10	Myo18a
ENSMUSG00000000631	E9Q0K8	Myo18a
ENSMUSG00000000631	E9QA74	Myo18a
ENSMUSG00000000631	Q9JMH9	Myo18a
ENSMUSG00000113189		B020018J22Rik
ENSMUSG00000043122	A0A1Y7VJR0	A530016L24Rik
ENSMUSG00000043122	A0A0R4J0P8	A530016L24Rik
ENSMUSG00000052192		Gm5963
ENSMUSG00000022848	D6RI31	Slc49a4
ENSMUSG00000022848	Q8BFQ6	Slc49a4
ENSMUSG00000054013	A0A1Y7VM43	Tmem179
ENSMUSG00000054013	Q8BHH9	Tmem179
ENSMUSG00000030647	A0A0U1RPJ5	Ndufc2
ENSMUSG00000030647	Q9CQ54	Ndufc2
ENSMUSG00000118667	A0A7N9VR94	Ahnak2
ENSMUSG00000037594	Q8BHN9	Clba1
ENSMUSG00000083974		Gm16053
ENSMUSG00000087793		Gm25967
ENSMUSG00000022849	A0A384DV63	Hspbap1
ENSMUSG00000022849	Q8BK58	Hspbap1
ENSMUSG00000019254	F6XWD4	Ppp1r12c
ENSMUSG00000019254	A0A0U1RPR6	Ppp1r12c
ENSMUSG00000019254	Q3UMT1	Ppp1r12c
ENSMUSG00000047832	Q9CWM2	Cdca4
ENSMUSG00000115180		Gm30556
ENSMUSG00000021298	Q9Z282	Gpr132
ENSMUSG00000040631	A0A1D5RML3	Dok4
ENSMUSG00000040631	Q99KE3	Dok4
ENSMUSG00000115101		Gm7778
ENSMUSG00000048337	Q61041	Npy4r
ENSMUSG00000097914		Gm26838
ENSMUSG00000065732		Gm24492
ENSMUSG00000119482		Gm24722
ENSMUSG00000116549		Gm49728
ENSMUSG00000034422	Q2EMV9	Parp14
ENSMUSG00000023951	E9Q4N9	Vegfa
ENSMUSG00000023951	E9Q4N8	Vegfa
ENSMUSG00000023951	Q00731	Vegfa
ENSMUSG00000078126		Rpl23a-ps3
ENSMUSG00000113872		Gm47474
ENSMUSG00000115673		Gm18884
ENSMUSG00000010406	A0A0G2JE60	Mrpl52
ENSMUSG00000010406	Q9D0Y8	Mrpl52
ENSMUSG00000113830		1700127F24Rik
ENSMUSG00000002799	Q9QYE5	Jag2
ENSMUSG00000045559	Q8VEV5	Or9k7
ENSMUSG00000064609		Gm25635
ENSMUSG00000112146		Gm46210
ENSMUSG00000070077		Mir491
ENSMUSG00000082597		Gm12645
ENSMUSG00000048015	Q545C0	Neurod4
ENSMUSG00000048015	O09105	Neurod4
ENSMUSG00000033948	Q80TC6	Zswim5
ENSMUSG00000081264		Gm14021
ENSMUSG00000101621		Gm28905
ENSMUSG00000084244		Gm14020
ENSMUSG00000086913		Gm14019
ENSMUSG00000112059		Gm48282
ENSMUSG00000112074		Gm48278
ENSMUSG00000071531	D3Z1D7	Gprin2
ENSMUSG00000071531	A0A2I3BQP8	Gprin2
ENSMUSG00000071531	A0A2I3BRN2	Gprin2
ENSMUSG00000112713		Gm48281
ENSMUSG00000065876		Gm25682
ENSMUSG00000112060		Gm48279
ENSMUSG00000112589		Gm48280
ENSMUSG00000109160		4930598N05Rik
ENSMUSG00000027108	B1AYJ9	Ola1
ENSMUSG00000027108	Q9CZ30	Ola1
ENSMUSG00000108973		Gm44555
ENSMUSG00000115299		Gm49168
ENSMUSG00000000957	A0A0G2JE78	Mmp14
ENSMUSG00000000957	A0A286YED2	Mmp14
ENSMUSG00000000957	P53690	Mmp14
ENSMUSG00000112219		Gm31904
ENSMUSG00000112573		Gm48324
ENSMUSG00000034833	Q3U132	Tespa1
ENSMUSG00000109061	Q8CE90	Gm49320
ENSMUSG00000116639		Gm49730
ENSMUSG00000116728		Gm41467
ENSMUSG00000062279		Gm10237
ENSMUSG00002074989		Gm55761
ENSMUSG00000049502	Q3UIR3	Dtx3l
ENSMUSG00002076804		Gm55762
ENSMUSG00000119735		Gm22092
ENSMUSG00000082207		Gm12998
ENSMUSG00000059291	A2BH06	Rpl11
ENSMUSG00000059291	Q9CXW4	Rpl11
ENSMUSG00000036913	Q505D9	Trim67
ENSMUSG00000098338		Mir6941
ENSMUSG00000002804	A0A217FL49	Nudt14
